row_in_workbook,series,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Num_Openings,Opening_Shape,Opening_Pos,col_shape,Vu_kN,Vu_ACI318_kN,Vu_EC2_kN,EC2_perimeter_ratio
521,187,previous_db,False,30.0,76.0,26.33,5.1312766442669995,1.77,5.516666666666667,0,1000.0,,,,,31.0,21.53904684197516,26.46711342001496,1.0
522,22,previous_db,False,107.0,100.0,34.02,5.8326666285670745,1.41,13.55140186915888,0,1000.0,,,,,211.0,170.5278077660944,244.1745331693828,1.0
523,93,previous_db,False,93.0,117.81,25.12,5.011985634456667,1.52,6.559139784946237,0,1000.0,,,,,214.0,129.7053546607927,184.88167104943125,1.0
524,160,previous_db,False,60.0,100.0,37.05,6.08687111741328,1.95,7.5,0,1000.0,,,,,135.0,77.1328307998611,103.815089537075,1.0
525,104,previous_db,False,40.5,100.0,31.88,5.646237685397241,1.99,6.666666666666667,0,1000.0,,,,,85.0,42.40962526591778,52.85453448160348,1.0
526,140,previous_db,False,80.0,179.86,13.71,3.702701716314724,1.34,4.81875,0,1000.0,,,,,181.0,101.60663758096308,131.0687942111784,1.0
527,188,previous_db,False,63.2,127.0,18.63,4.316248370981447,0.89,5.830696202531645,0,1000.0,,,,,88.0,68.48696951996384,75.54918156132571,1.0
528,111,previous_db,False,95.0,150.0,65.55,8.096295449154509,1.49,7.105263157894737,0,1000.0,,,,,356.0,248.742485084374,282.523367983686,1.0
529,19,previous_db,False,118.0,254.0,13.36,3.655133376499413,1.17,6.457627118644067,0,1000.0,,,,,302.0,211.7883697971601,265.4110257389885,1.0
530,48,previous_db,False,200.0,196.35,23.77,4.8754486972995625,0.34,5.32,0,1000.0,,,,,489.0,510.149400070116,476.6225760315255,1.0
531,116,previous_db,False,120.0,235.62,25.2,5.019960159204453,1.11,5.875,0,1000.0,,,,,332.0,282.7753999197,321.3436971013749,1.0
532,189,previous_db,False,240.0,392.7,26.18,5.1166395221864125,1.31,4.479166666666667,0,1000.0,,,,,1662.0,1025.5759511777503,1231.457617178102,1.0
533,104,previous_db,False,40.5,100.0,31.88,5.646237685397241,0.6,6.666666666666667,0,1000.0,,,,,49.0,42.40962526591778,35.44173522559852,1.0
534,22,previous_db,False,107.0,100.0,37.28,6.105735008989499,0.53,13.55140186915888,0,1000.0,,,,,165.0,178.51142062262315,181.6769442298581,1.0
535,190,previous_db,False,173.0,157.87,31.07,5.574047003748713,0.45,3.956647398843931,0,1000.0,,,,,530.0,421.16090710128367,420.9245614923533,1.0
536,27,previous_db,False,114.3,254.0,24.76,4.975942121849892,1.15,6.675415573053368,0,1000.0,,,,,371.0,276.50131470912345,308.137740397768,1.0
537,111,previous_db,False,127.0,119.38,24.89,4.988987873306569,0.75,5.401574803149606,0,1000.0,,,,,203.0,206.06088055424468,251.47509463777632,1.0
538,191,previous_db,False,121.0,117.81,29.48,5.429548784199291,1.64,6.446280991735537,0,1000.0,,,,,334.0,207.097830672098,316.0707820539554,1.0
539,192,previous_db,False,201.0,196.35,103.36,10.166612021711067,0.61,5.348258706467662,0,1000.0,,,,,960.0,1071.8140760609112,952.4500670126477,1.0
540,47,previous_db,False,98.0,117.81,39.3,6.268971207462991,1.27,6.23469387755102,0,1000.0,,,,,286.0,175.01200764391564,221.17877099794535,1.0
541,79,previous_db,False,82.0,173.57,16.05,4.006245124802026,1.21,5.158536585365853,0,1000.0,,,,,201.0,110.82434544290156,136.8534311085535,1.0
542,193,previous_db,False,38.1,40.06,13.15,3.626292872893749,2.06,2.992125984251969,0,1000.0,,,,,24.0,14.254314414144822,26.0651147076211,1.0
